,ID,First_author,Published,Title,Journal,Species
616,619,"Ouimet, CC",1989,"ARPP-21, a cyclic AMP-regulated phosphoprotein enriched in dopamine-innervated brain regions. II. Immunocytochemical localization in rat brain.",7,Rat
617,620,"Ouimet, CC",1984,"DARPP-32, a dopamine- and adenosine 3':5'-monophosphate-regulated phosphoprotein enriched in dopamine-innervated brain regions. III. Immunocytochemical localization.",7,Rat
618,621,"Ozaki, M",2002,Degeneration of pontine mossy fibres during cerebellar development in weaver mutant mice.,2,Mouse
619,622,"Ozkan, A",2016,The protective mechanism of docosahexaenoic acid in mouse model of Parkinson: The role of hemeoxygenase.,86,Mouse
620,623,"Pabon, M",2012,A spirulina-enhanced diet provides neuroprotection in an alpha-synuclein model of Parkinson's disease.,13,Rat
621,624,"Paden, CM",1995,Distribution of growth-associated class I alpha-tubulin and class II beta-tubulin mRNAs in adult rat brain.,12,Rat
622,625,"Padival, M",2013,Effects of repeated stress on excitatory drive of basal amygdala neurons in vivo.,44,Rat
623,626,"Padival, MA",2015,Qualitatively different effect of repeated stress during adolescence on principal neuron morphology across lateral and basal nuclei of the rat amygdala.,11,Rat
624,627,"Padival, MA",2013,Repeated restraint stress exerts different impact on structure of neurons in the lateral and basal nuclei of the amygdala.,11,Rat
625,628,"Padungchaichot, P",2000,Early direct and transneuronal effects in mice with targeted expression of a toxin gene to D1 dopamine receptor neurons.,11,Mouse
626,629,"Palacios, JM",2016,Serotonin receptors in brain revisited. [Review],21,
627,630,"Palacios, JM",1989,Does cholecystokinin colocalize with dopamine in the human substantia nigra?.,21,Rat
628,631,"Paletzki, R",2015,Whole Mouse Brain Image Reconstruction from Serial Coronal Sections Using FIJI (ImageJ).,161,Mouse
629,632,"Paletzki, RF",2002,Cloning and characterization of guanine deaminase from mouse and rat brain.,11,Rodent
630,633,"Pang, L",2015,[A study of divalent metal transporter 1 and ferroportin 1 in brain of rats with manganese-induced parkinsonism]. [Chinese],,
631,634,"Panula, P",1989,Histamine-immunoreactive nerve fibers in the rat brain.,11,Rat
632,635,"Papa, M",2003,Differential expression of the Na+-Ca2+ exchanger transcripts and proteins in rat brain regions.,12,Rat
633,636,"Parent, A",1983,The output organization of the substantia nigra in primate as revealed by a retrograde double labeling method.,30,Monkey
634,637,"Parish, CL",2001,The role of dopamine receptors in regulating the size of axonal arbors.,7,Mouse
635,638,"Park, G",2013,"6-Shogaol, an active compound of ginger, protects dopaminergic neurons in Parkinson's disease models via anti-neuroinflammation.",162,Mouse
636,639,"Park, HJ",2012,Mesenchymal stem cells augment neurogenesis in the subventricular zone and enhance differentiation of neural precursor cells into dopaminergic neurons in the substantia nigra of a parkinsonian model.,88,
637,640,"Park, H",2008,Mesenchymal stem cells therapy exerts neuroprotection in a progressive animal model of Parkinson's disease.,46,Rat
638,641,"Park, JY",2006,A new and simple transection knife for study of neurodegeneration and neuroregeneration in animal model.,77,Rat
639,642,"Park, M",2000,Postnatal development of the dopaminergic neurons in the rat mesencephalon.,125,Rat
640,643,"Pasinetti, GM",1989,Combined in situ hybridization and immunocytochemistry in the assay of pharmacological effects on tyrosine hydroxylase mRNA concentration.,163,Rat
641,644,"Pavlovic, S",2006,"2,9-Dimethyl-beta-carbolinium, a neurotoxin occurring in human brain, is a potent inducer of apoptosis as 1-methyl-4-phenylpyridinium.",11,Rat
642,645,"Pearson, AG",2005,Activating transcription factor 2 expression in the adult human brain: association with both neurodegeneration and neurogenesis.,11,Human
643,646,"Pei, G",1995,Specific lesions in the extrapyramidal system of the rat brain induced by 3-nitropropionic acid (3-NPA).,18,Rat
644,647,"Peng, J",2017,A Quantitative Analysis of the Distribution of CRH Neurons in Whole Mouse Brain.,100,Mouse
645,648,"Penttinen, AM",2016,Characterization of a new low-dose 6-hydroxydopamine model of Parkinson's disease in rat.,26,Rat
646,649,"Peoples, C",2012,Photobiomodulation enhances nigral dopaminergic cell survival in a chronic MPTP mouse model of Parkinson's disease.,127,Mouse
647,650,"Perez-Costas, E",2010,Light and electron microscopy study of glycogen synthase kinase-3beta in the mouse brain.,13,Mouse
648,651,"Perez-H, J",2014,Neuroprotective effect of silymarin in a MPTP mouse model of Parkinson's disease.,164,Mouse
649,652,"Perier, C",2013,Accumulation of mitochondrial DNA deletions within dopaminergic neurons triggers neuroprotective mechanisms.,165,Mouse
650,653,"Peschanski, M",1993,Stathmin: cellular localization of a major phosphoprotein in the adult rat and human CNS.,12,Rat
651,654,"Peterson, GM",1987,Hippocampus of the seizure-sensitive gerbil is a specific site for anatomical changes in the GABAergic system.,12,Gerbil
652,655,"Pettit, DA",1998,Immunohistochemical localization of the neural cannabinoid receptor in rat brain.,26,Rat
653,656,"Peyron, C",1998,Neurons containing hypocretin (orexin) project to multiple neuronal systems.,7,Rat
654,657,"Phelps, C J",2004,Postnatal regression of hypothalamic dopaminergic neurons in prolactin-deficient Snell dwarf mice.,166,Mouse
655,658,"Phelps, CJ",1993,Developmental assessment of hypothalamic tuberoinfundibular dopamine in prolactin-deficient dwarf mice.[Erratum appears in Endocrinology 1993 Jul;133(1):327],166,Mouse
656,659,"Phelps, CJ",1991,"Hypothalamic dopaminergic neurons in transgenic dwarf mice: histofluorescence, immunocytochemical, and in situ hybridization studies.",146,Mouse
657,660,"Piallat, B",1996,Subthalamic nucleus lesion in rats prevents dopaminergic nigral neuron degeneration after striatal 6-OHDA injection: behavioural and immunohistochemical studies.,2,Rat
658,661,"Pienaar, I",2013,A non-cholinergic neuronal loss in the pedunculopontine nucleus of toxin-evoked parkinsonian rats.,18,Rat
659,662,"Pinna, A",2016,The Small GTP-Binding Protein Rhes Influences Nigrostriatal-Dependent Motor Behavior During Aging.,58,Mouse
660,663,"Pintar, JE",1983,Specificity of antisera prepared against pure bovine MAO-B.,21,Rat
661,664,"Plenz, D",1998,Regulation of the nigrostriatal pathway by metabotropic glutamate receptors during development.,7,Rat
662,665,"Poitras, MF",2007,Spatial and functional relationship between poly(ADP-ribose) polymerase-1 and poly(ADP-ribose) glycohydrolase in the brain.,11,Mouse
663,666,"Polli, JW",1991,"Expression of the calmodulin-dependent protein phosphatase, calcineurin, in rat brain: developmental patterns and the role of nigrostriatal innervation.",21,Rat
664,667,"Poluektova, L",2005,Macrophage-induced inflammation affects hippocampal plasticity and neuronal development in a murine model of HIV-1 encephalitis.,33,Mouse
665,668,"Pompeiano, M",1994,Distribution of the serotonin 5-HT2 receptor family mRNAs: comparison between 5-HT2A and 5-HT2C receptors.,21,Rat
666,669,"Pompeiano, M",2001,Fos-related antigens are involved in the transcriptional responses of locus coeruleus neurons to altered gravitational fields in rats.,167,Rat
667,670,"Pritzel, M",1983,Interhemispheric nigrostriatal projections in the rat: bifurcating nigral projections and loci of crossing in the diencephalon.,30,Rat
668,671,"Pruss, H",2005,Differential distribution of individual subunits of strongly inwardly rectifying potassium channels (Kir2 family) in rat brain.,21,Rat
669,672,"Prydz, A",2017,Subcellular expression of aquaporin-4 in substantia nigra of normal and MPTP-treated mice.,11,Mouse
670,673,"Purisai, MG",2007,Microglial activation as a priming event leading to paraquat-induced dopaminergic cell degeneration.,68,Mouse
671,674,"Purushothuman, S",2013,The impact of near-infrared light on dopaminergic cell survival in a transgenic mouse model of parkinsonism.,21,Mouse
672,675,"Purushothuman, S",2013,Saffron pre-treatment offers neuroprotection to Nigral and retinal dopaminergic cells of MPTP-Treated mice.,168,Mouse
673,676,"Puspitasari, A",2016,X Irradiation Induces Acute Cognitive Decline via Transient Synaptic Dysfunction.,169,Mouse
674,677,"Puymirat, J",1991,Immunocytochemical localization of thyroid hormone receptors in the adult rat brain.,170,Rat
675,678,"Qi, XJ",2011,[Effects of penetration therapy with scalp electroacupuncture on gene expressions of nerve growth factors in substantia nigra of rats with Parkinson's disease]. [Chinese],,
676,679,"Qu, S",2006,Projections of diencephalic dopamine neurons into the spinal cord in mice.,25,Mouse
677,680,"Quan, T",2013,NeuroGPS: automated localization of neurons for brain circuits using L1 minimization model.,171,
678,681,"Qutaish, M",2012,"Cryo-image analysis of tumor cell migration, invasion, and dispersal in a mouse xenograft model of human glioblastoma multiforme.",172,Mouse
679,682,"Radad, K",2015,Rapamycin protects dopaminergic neurons against rotenone-induced cell death in primary mesencephalic cell culture.,173,Mouse
680,683,"Radad, K",2008,Dopaminergic neurons are preferentially sensitive to long-term rotenone toxicity in primary cell culture.,174,Mouse
681,684,"Radovsky, A",1997,"Ischemic neurons in rat brains after 6, 8, or 10 minutes of transient hypoxic ischemia.",175,Rat
682,685,"Ramanan, S",2009,The PPARalpha agonist fenofibrate preserves hippocampal neurogenesis and inhibits microglial activation after whole-brain irradiation.,176,Mouse
683,686,"Ramos, AJ",1999,"Tryptamine, serotonin and catecholamines: an immunocytochemical study in the central nervous system.",61,Rat
684,687,"Rattray, I",2013,Correlations of behavioral deficits with brain pathology assessed through longitudinal MRI and histopathology in the R6/2 mouse model of HD.,13,Mouse
685,688,"Ratzka, A",2012,Fibroblast growth factor 2 regulates dopaminergic neuron development in vivo.,46,Mouse
686,689,"Ravizza, T",2002,Sex differences in androgen and estrogen receptor expression in rat substantia nigra during development: an immunohistochemical study.,11,Rat
687,690,"Razgado-Hernandez, L",2015,"The transfection of BDNF to dopamine neurons potentiates the effect of dopamine D3 receptor agonist recovering the striatal innervation, dendritic spines and motor behavior in an aged rat model of Parkinson's disease.",13,Rat
688,691,"Reglodi, D",2004,Morphological and functional effects of PACAP in 6-hydroxydopamine-induced lesion of the substantia nigra in rats.,177,Rat
689,692,"Reinhard, E",1994,Glia-derived nexin/protease nexin-1 is expressed by a subset of neurons in the rat brain.,26,Rat
690,693,"Reinhart, F",2017,The behavioural and neuroprotective outcomes when 670nm and 810nm near infrared light are applied together in MPTP-treated mice.,122,Mouse
691,694,"Reinhart, F",2016,Near-infrared light (670 nm) reduces MPTP-induced parkinsonism within a broad therapeutic time window.,25,Mouse
692,695,"Reinhart, F",2016,Intracranial application of near-infrared light in a hemi-parkinsonian rat model: the impact on behavior and cell survival.,137,Rat
693,696,"Reinhart, F",2015,810nm near-infrared light offers neuroprotection and improves locomotor activity in MPTP-treated mice.,122,Mouse
694,697,"Ren, JP",2009,Toxic influence of chronic oral administration of paraquat on nigrostriatal dopaminergic neurons in C57BL/6 mice.,178,Mouse
695,698,"Revishchin, A",2016,Effects of striatal transplantation of cells transfected with GDNF gene without pre- and pro-regions in mouse model of Parkinson's disease.,31,Mouse
696,699,"Riad, M",2000,Somatodendritic localization of 5-HT1A and preterminal axonal localization of 5-HT1B serotonin receptors in adult rat brain.,12,Rat
697,700,"Ribak, CE",1990,"GABAergic synapses in the brain identified with antisera to GABA and its synthesizing enzyme, glutamate decarboxylase. [Review] [70 refs]",179,
698,701,"Ribak, CE",1979,The GABA neurons and their axon terminals in rat corpus striatum as demonstrated by GAD immunocytochemistry.,12,Rat
699,702,"Richards, A",2007,EphB1 null mice exhibit neuronal loss in substantia nigra pars reticulata and spontaneous locomotor hyperactivity.,2,Mouse
700,703,"Richards, JG",1987,Resolving GABAA/benzodiazepine receptors: cellular and subcellular localization in the CNS with monoclonal antibodies.,7,Rat
701,704,"Riedl, AG",2000,Expression and distribution of CYP2C enzymes in rat basal ganglia.,5,Rat
702,705,"Riedl, AG",1999,Expression and localisation of CYP2D enzymes in rat basal ganglia.,21,Rat
703,706,"Roberts, RC",1995,Effects of suicide transport lesions of the striatopallidal or striatonigral pathways on striatal ultrastructure.,21,Rat
704,707,"Roberts, RC",1993,Differential effects of suicide transport lesions of the striatonigral or striatopallidal pathways on subsets of striatal neurons.,18,Rat
705,708,"Robertson, RT",1990,Patterns of transiently expressed acetylcholinesterase activity in cerebral cortex and dorsal thalamus of developing rats with cytotoxin-induced microencephaly.,76,Rat
706,709,"Robison, G",2012,X-ray fluorescence imaging: a new tool for studying manganese neurotoxicity.,13,Rat
707,710,"Rodrigues, LS",2014,Olfactory impairment in the rotenone model of Parkinson's disease is associated with bulbar dopaminergic D2 activity after REM sleep deprivation.,23,Rat
708,711,"Rodrigues, RW",2001,Astroglial and microglial reaction after a partial nigrostriatal degeneration induced by the striatal injection of different doses of 6-hydroxydopamine.,61,Rat
709,712,"Rodriguez, M",1983,Ultrastructural localization of viral antigens in the CNS of mice persistently infected with lymphocytic choriomeningitis virus (LCMV).,45,Mouse
710,713,"Rodriguez, S",2013,Immunohistochemical changes of nigrostriatal tyrosine hydroxylase and dopamine transporter in the golden hamster after a single intrastriatal injection of 6-hydroxydopamine.,180,Hamster
711,714,"Rodriguez, VM",2017,Behavioral effects and neuroanatomical targets of acute atrazine exposure in the male Sprague-Dawley rat.,66,Rat
712,715,"Rogers, SW",1998,Age-related changes in neuronal nicotinic acetylcholine receptor subunit alpha4 expression are modified by long-term nicotine administration.,7,Mouse
713,716,"Roghani, M",2001,Neuroprotective effect of vitamin E on the early model of Parkinson's disease in rat: behavioral and histochemical evidence.,21,Rat
714,717,"Roky, R",1996,Distribution of prolactin receptors in the rat forebrain. Immunohistochemical study.,89,Rat
715,718,"Rola, R",2004,Radiation-induced impairment of hippocampal neurogenesis is associated with cognitive deficits in young mice.,18,Mouse
716,719,"Rolland, AS",2007,Metabolic activity of cerebellar and basal ganglia-thalamic neurons is reduced in parkinsonism.,165,Rat
717,720,"Romanova, IV",2012,[Immunohistochemical study of CART-peptide in striato-nigral projections at dopamine loss]. [Russian],,
718,721,"Rommelfanger, KS",2009,Light and electron microscopic localization of alpha-1 adrenergic receptor immunoreactivity in the rat striatum and ventral midbrain.,11,Rat
719,722,"Rosenblad, C",2003,Long-term striatal overexpression of GDNF selectively downregulates tyrosine hydroxylase in the intact nigrostriatal dopamine system.,2,Rat
720,723,"Rosin, DL",1996,Distribution of alpha 2C-adrenergic receptor-like immunoreactivity in the rat central nervous system.,12,Rat
721,724,"Rostasy, K",2003,SDF-1alpha is expressed in astrocytes and neurons in the AIDS dementia complex: an in vivo and in vitro study.,71,Human
722,725,"Roubert, C",2004,Altered neurotensin mrna expression in mice lacking the dopamine transporter.,11,Mouse
723,726,"Rubinov, M",2015,Wiring cost and topological participation of the mouse brain connectome.,6,Mouse
724,727,"Ruest, T",2011,High-resolution diffusion tensor imaging of fixed brain in a mouse model of Pelizaeus-Merzbacher disease: comparison with quantitative measures of white matter pathology.,181,Mouse
725,728,"Saal, KA",2015,AAV.shRNA-mediated downregulation of ROCK2 attenuates degeneration of dopaminergic neurons in toxin-induced models of Parkinson's disease in vitro and in vivo.,68,Mouse
726,729,"Sadeghian, M",2012,"Full and partial peroxisome proliferation-activated receptor-gamma agonists, but not delta agonist, rescue of dopaminergic neurons in the 6-OHDA parkinsonian model is associated with inhibition of microglial activation and MMP expression.",182,Rat
727,730,"Sadek, A",2007,A single-cell analysis of intrinsic connectivity in the rat globus pallidus.,7,Rat
728,731,"Sakai, ST",1998,Nigrothalamic projections and nigrothalamocortical pathway to the medial agranular cortex in the rat: single- and double-labeling light and electron microscopic studies.,12,Rat
729,732,"Sakai, T",2018,Functional recovery after the systemic administration of mesenchymal stem cells in a rat model of neonatal hypoxia-ischemia.,137,Rat
730,733,"Salama, M",2017,Effect of intranasal stem cell administration on the nigrostriatal system in a mouse model of Parkinson's disease.,183,Mouse
731,734,"Sancesario, G",2004,Down-regulation of nitrergic transmission in the rat striatum after chronic nigrostriatal deafferentation.,2,Rat
732,735,"Sansar, W",2011,Chronic lead intoxication affects glial and neural systems and induces hypoactivity in adult rat.,184,Rat
733,736,"Santana, N",2017,Expression of Serotonin2C Receptors in Pyramidal and GABAergic Neurons of Rat Prefrontal Cortex: A Comparison with Striatum.,185,Rat
734,737,"Santiago-Lopez, D",2010,"Oxidative stress, progressive damage in the substantia nigra and plasma dopamine oxidation, in rats chronically exposed to ozone.",186,Rat
735,738,"Sar, M",1988,"Distribution of progestin-concentrating cells in rat brain: colocalization of [3H]ORG.2058, a synthetic progestin, and antibodies to tyrosine hydroxylase in hypothalamus by combined autoradiography and immunocytochemistry.",166,Rat
736,739,"Sarafian, TA",1999,Differential expression of peroxiredoxin subtypes in human brain cell types.,26,Rat
737,740,"Sarpal, D",2004,Regional distribution of SK3 mRNA-containing neurons in the adult and adolescent rat ventral midbrain and their relationship to dopamine-containing cells.,5,Rat
738,741,"Sastry, S",1995,Time-dependent changes in iron levels and associated neuronal loss within the substantia nigra following lesions within the neostriatum/globus pallidus complex.,11,Rat
739,742,"Sato, M",1992,Different postnatal development of cells expressing mRNA encoding neurotensin receptor.,11,Rat
740,743,"Satoh, J",1991,Neurochemical and immunocytochemical studies of catecholamine system in the brindled mouse.,,Mouse
741,744,"Sauer, H",1994,Progressive degeneration of nigrostriatal dopamine neurons following intrastriatal terminal lesions with 6-hydroxydopamine: a combined retrograde tracing and immunocytochemical study in the rat.,11,Rat
742,745,"Savasta, M",1988,Regional localization of the mRNA coding for the neuropeptide cholecystokinin in the rat brain studied by in situ hybridization.,8,Rat
743,746,"Sawaguchi, T",2003,"The presence of TATA-binding protein in the brainstem, correlated with sleep apnea in SIDS victims.",187,Human
744,747,"Schawkat, K",2015,Loss of Nogo-A-expressing neurons in a rat model of Parkinson's disease.,11,Rat
745,748,"Scherfler, C",2002,Evaluation of striatal dopamine transporter function in rats by in vivo beta-[123I]CIT pinhole SPECT.,65,Rat
746,749,"Schiffer, D",1991,Relationship between glial reaction to a stab wound and tumor development after receiving transplacental ethylnitrosourea in the rat.,63,Rat
747,750,"Schiffmann, SN",1993,Caffeine regulates neurotensin and cholecystokinin messenger RNA expression in the rat striatum.,11,Rat
748,751,"Schiffmann, SN",1991,Distribution of cells containing mRNA encoding cholecystokinin in the rat central nervous system.,12,Rat
749,752,"Schmidt-Kastner, R",1996,"Comparative study of brain-derived neurotrophic factor messenger RNA and protein at the cellular level suggests multiple roles in hippocampus, striatum and cortex.",11,Rat
750,753,"Schuligoi, R",1993,Decreased tyrosine hydroxylase mRNA but not cholecystokinin mRNA in the pars compacta of the substantia nigra and ventral tegmental area of aged rats.,21,Rat
751,754,"Schumacher, M",1978,Techniques and results of neuroradiologic investigations of experimentally induced brain tumors in rats.,188,Rat
752,755,"Scott, S",2007,Stereologic analysis of cell number and size during postnatal development in the rat substantia nigra.,8,Rat
753,756,"Sedaghat, K",2009,Effect of unilateral lesion of the nigrostriatal dopamine pathway on survival and neurochemistry of parafascicular nucleus neurons in the rat--evaluation of time-course and LGR8 expression.,21,Rat
754,757,"Sedelis, M",2000,"MPTP susceptibility in the mouse: behavioral, neurochemical, and histological analysis of gender and strain differences.",34,Mouse
755,758,"Seegers, U",2002,Expression of the multidrug transporter P-glycoprotein in brain capillary endothelial cells and brain parenchyma of amygdala-kindled rats.,189,Rat
756,759,"Seeher, S",2014,"Targeted deletion of Secisbp2 reduces, but does not abrogate, selenoprotein expression and leads to striatal interneuron loss.",190,Mouse
757,760,"Seeher, S",2014,Impaired selenoprotein expression in brain triggers striatal neuronal loss leading to co-ordination defects in mice.,191,Mouse
758,761,"Seiriki, K",2017,High-Speed and Scalable Whole-Brain Imaging in Rodents and Primates.,192,Mouse
759,762,"Semba, K",1992,Afferent connections of the laterodorsal and the pedunculopontine tegmental nuclei in the rat: a retro- and antero-grade transport and immunohistochemical study.,12,Rat
760,763,"Semba, K",1988,"Brainstem afferents to the magnocellular basal forebrain studied by axonal transport, immunohistochemistry, and electrophysiology in the rat.",,Rat
761,764,"Sen, H A",1990,Differentiation gradient of dopaminergic neurons in substantia nigra of rat.,,
762,765,"Sequier, JM",1990,Calbindin D-28k Protein and mRNA Localization in the Rat Brain.,2,Rat
763,766,"Serodio, P",1998,Differential expression of Kv4 K+ channel subunits mediating subthreshold transient K+ (A-type) currents in rat brain.,97,Rat
764,767,"Seroogy, KB",1994,Dopaminergic neurons in rat ventral midbrain express brain-derived neurotrophic factor and neurotrophin-3 mRNAs.,12,Rat
765,768,"Sesack, SR",1994,Ultrastructural localization of D2 receptor-like immunoreactivity in midbrain dopamine neurons and their striatal targets.,7,Rat
766,769,"Sgambato, V",1997,Effect of electrical stimulation of the cerebral cortex on the expression of the Fos protein in the basal ganglia.,11,Rat
767,770,"Shafit-Zagardo, B",1997,Distribution and subcellular localization of high-molecular-weight microtubule-associated protein-2 expressing exon 8 in brain and spinal cord.,,Rat
768,771,"Shammah-Lagnado, SJ",1996,Efferent connections of the caudal part of the globus pallidus in the rat.,12,Rat
769,772,"Shankaranarayana Rao, BS",1999,Self-stimulation rewarding experience induced alterations in dendritic spine density in CA3 hippocampal and layer V motor cortical pyramidal neurons.,11,Rat
770,773,"Shaw, V",2012,Patterns of Cell Activity in the Subthalamic Region Associated with the Neuroprotective Action of Near-Infrared Light Treatment in MPTP-Treated Mice.,193,Mouse
771,774,"Shaw, V",2010,Neuroprotection of midbrain dopaminergic cells in MPTP-treated mice after near-infrared light treatment.,12,Mouse
772,775,"Shen, H",2004,Immunolocalization of the proton-coupled oligopeptide transporter PEPT2 in developing rat brain.,20,Rat
773,776,"Shen, PJ",2005,Restricted expression of LGR8 in intralaminar thalamic nuclei of rat brain suggests a role in sensorimotor systems.,128,Rat
774,777,"Shen, RY",1999,Prenatal ethanol reduces the activity of adult midbrain dopamine neurons.,9,Rat
775,778,"Shen, WB",2017,Magnetic Enhancement of Stem Cell-Targeted Delivery into the Brain Following MR-Guided Focused Ultrasound for Opening the Blood-Brain Barrier.,88,Rat
776,779,"Sheng, JG",1993,Alterations in striatal glial fibrillary acidic protein expression in response to 6-hydroxydopamine-induced denervation.,25,Rat
777,780,"Sheu, KF",1996,Regional reductions of transketolase in thiamine-deficient rat brain.,46,Rat
778,781,"Shi, C",2009,[Effect of phosphorylated-ERK1/2 on inducible nitric oxide synthase expression in the substantia nigra of mice with MPTP-induced Parkinson disease]. [Chinese],,
779,782,"Shi, W",2015,The effect of different durations of morphine exposure on mesencephalic dopaminergic neurons in morphine dependent rats.,66,Rat
780,783,"Shigemoto, R",1992,Distribution of the mRNA for a metabotropic glutamate receptor (mGluR1) in the central nervous system: an in situ hybridization study in adult and developing rat.,12,Rat
781,784,"Shim, SH",2001,Immunohistochemical detection of tyrosine hydroxylase and concentrations of monoamines in the substantia nigra and hypothalamus of hereditary microphthalmic rats.,195,Rat
782,785,"Shimada, S",1992,Dopamine transporter mRNA: dense expression in ventral midbrain neurons.,21,Rat
783,786,"Shindler, KS",1996,Cholera toxin binds to differentiating neurons in the developing murine basal ganglia.,21,Mouse
784,787,"Short, JL",2006,Genetic interdependence of adenosine and dopamine receptors: evidence from receptor knockout mice.,11,Mouse
785,788,"Shu, YM",2015,Distribution of corticotropin-releasing factor in the tree shrew brain.,21,Tree shrew
786,789,"Silveira, DC",1998,Activation of the locus coeruleus after amygdaloid kindling.,189,Rat
787,790,"Silverman, WF",1995,Metabolic profile of fetal dopamine neurons transplanted to the adult rat striatum.,196,Rat
788,791,"Silvestri, L",2015,Quantitative neuroanatomy of all Purkinje cells with light sheet microscopy and high-throughput image analysis.,100,Mouse
789,792,"Simhadri, P",2017,Dysregulation of LIMK-1/cofilin-1 pathway: A possible basis for alteration of neuronal morphology in experimental cerebral malaria.,104,Mouse
790,793,"Simonds, GW",1990,Effects of adrenal medulla grafts in neonatal rat hosts on subsequent bilateral substantia nigra lesions.,196,Rat
791,794,"Singhrao, SK",2010,In situ hybridization and immunofluorescence on resin-embedded tissue to identify the components of Nissl substance.,10,Mouse
792,795,"Sizemore, R",2016,"Marked differences in the number and type of synapses innervating the somata and primary dendrites of midbrain dopaminergic neurons, striatal cholinergic interneurons, and striatal spiny projection neurons in the rat.",12,Rat
793,796,"Smardencas, A",2013,Phenotyping dividing cells in mouse models of neurodegenerative basal ganglia diseases.,31,Mouse
794,797,"Smialowska, M",1999,Effect of 6-hydroxydopamine on neuropeptide Y and corticotropin-releasing factor expression in rat amygdala.,11,Rat
795,798,"Smiley, JF",2015,Selective reduction of cerebral cortex GABA neurons in a late gestation model of fetal alcohol spectrum disorder.,197,Mouse
796,799,"Smith, BA",2011,"Effects of treadmill exercise on behavioral recovery and neural changes in the substantia nigra and striatum of the 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-lesioned mouse.",21,Mouse
797,800,"Smith, ME",2000,Distribution of Fos-like immunoreactivity within the rat brain following intraventricular injection of the selective NK(3) receptor agonist senktide.,12,Rat
798,801,"Smits, RP",1990,Distribution of dopamine-immunoreactive cell bodies in the guinea-pig brain.,14,Guinea pig
799,802,"Soghomonian, JJ",1992,Effects of nigrostriatal lesions on the levels of messenger RNAs encoding two isoforms of glutamate decarboxylase in the globus pallidus and entopeduncular nucleus of the rat.,5,Rat
800,803,"Soghomonian, JJ",1991,"Lesions of the dopaminergic nigrostriatal pathway alter preprosomatostatin messenger RNA levels in the striatum, the entopeduncular nucleus and the lateral hypothalamus of the rat.",11,Rat
801,804,"Solis, O",2007,Alterations in dendritic morphology of the prefrontal cortical and striatum neurons in the unilateral 6-OHDA-rat model of Parkinson's disease.,5,Rat
802,805,"Sommer, W",1996,Intrastriatally injected c-fos antisense oligonucleotide interferes with striatonigral but not striatopallidal gamma-aminobutyric acid transmission in the conscious rat.,6,Rat
803,806,"Sondhi, D",2005,AAV2-mediated CLN2 gene transfer to rodent and non-human primate brain results in long-term TPP-I expression compatible with therapy for LINCL.,198,Rat
804,807,"Song, CH",2014,Subtle microstructural changes of the cerebellum in a knock-in mouse model of DYT1 dystonia.,68,Mouse
805,808,"Song, HT",2011,Quantitative T2* imaging of metastatic human breast cancer to brain in the nude rat at 3 T.,181,Rat
806,809,"Songin, M",2011,Glycogen synthase kinase 3beta and its phosphorylated form (Y216) in the paraquat-induced model of parkinsonism.,80,Rat
807,810,"Soriano, MA",1997,Striatal infarction in the rat causes a transient reduction of tyrosine hydroxylase immunoreactivity in the ipsilateral substantia nigra.,68,Rat
808,811,"Sotiriou, E",2010,Selective noradrenergic vulnerability in alpha-synuclein transgenic mice.,64,Mouse
809,812,"Spann, BM",1992,Cholinergic and non-cholinergic neurons in the rat pedunculopontine tegmental nucleus.,117,Rat
810,813,"Spann, BM",1989,Origin of ascending and spinal pathways from the nucleus tegmenti pedunculopontinus in the rat.,12,Rat
811,814,"Speciale, SG",1998,The neurotoxin 1-methyl-4-phenylpyridinium is sequestered within neurons that contain the vesicular monoamine transporter.,11,Mouse
812,815,"Spiga, S",2010,Altered architecture and functional consequences of the mesolimbic dopamine system in cannabis dependence.,199,Rat
813,816,"Staffler, B",2017,"SynEM, automated synapse detection for connectomics.",114,
814,817,"Stanic, D",2006,Characterization of neuropeptide Y2 receptor protein expression in the mouse brain. I. Distribution in cell bodies and nerve terminals.,12,Mouse
815,818,"Stanic, D",2003,Changes in function and ultrastructure of striatal dopaminergic terminals that regenerate following partial lesions of the SNpc.,46,Rat
816,819,"Stanwood, GD",2009,Manganese exposure is cytotoxic and alters dopaminergic and GABAergic neurons within the basal ganglia.,46,Mouse
817,820,"Stefanis, L",1996,"Transneuronal degeneration in substantia nigra pars reticulata following striatal excitotoxic injury in adult rat: time-course, distribution, and morphology of cell death.",11,Rat
818,821,"Stephenson, D",2007,Quantification of MPTP-induced dopaminergic neurodegeneration in the mouse substantia nigra by laser capture microdissection.,109,Mouse
819,822,"Stephenson, D",2009,Immunohistochemical localization of phosphodiesterase 2A in multiple mammalian species.,90,Rat
820,823,"Stichel, C",2007,Mono- and double-mutant mouse models of Parkinson's disease display severe mitochondrial damage.,139,Mouse
821,824,"Stichel, CC",2000,Parkin expression in the adult mouse brain.,2,Rodent
822,825,"Stock, A",1992,Localization of acidic fibroblast growth factor in specific subcortical neuronal populations.,7,Rat
823,826,"Stojakovic, A",2017,Role of the IL-1 Pathway in Dopaminergic Neurodegeneration and Decreased Voluntary Movement.,158,Rat
824,827,"Stork, O",1994,Increase of tyrosine hydroxylase and its mRNA in the rat substantia nigra pars reticulata by diazepam and picrotoxin.,122,Rat
