"ID";"First_author";"Published";"Title";"Journal";"Species"
309;"He, XJ";2006,00;"Evidence of apoptosis in the subventricular zone and rostral migratory stream in the MPTP mouse model of Parkinson disease.";71;"Mouse"
310;"He, Y";1998,00;"Effect of 6-OHDA injection on the AMPA glutamate receptor subunits in the substantia nigra of Sprague-Dawley rats.";8;"Rat"
311;"Healy-Stoffel, M";2012,00;"A novel use of combined tyrosine hydroxylase and silver nucleolar staining to determine the effects of a unilateral intrastriatal 6-hydroxydopamine lesion in the substantia nigra: a stereological study.";109;"Rat"
312;"Hebert, G";2005,00;"Cellular distribution of interleukin-1alpha-immunoreactivity after MPTP intoxication in mice.";21;"Mouse"
313;"Hedou, G";2000,00;"Immunohistochemical studies of the localization of neurons containing the enzyme that synthesizes dopamine, GABA, or gamma-hydroxybutyrate in the rat substantia nigra and striatum.";12;"Rat"
314;"Heise, C";2005,00;"Cell survival patterns in the pedunculopontine tegmental nucleus of methyl-4-phenyl-1,2,3,6-tetrahydropyridine-treated monkeys and 6OHDA-lesioned rats: evidence for differences to idiopathic Parkinson disease patients?.";117;"Rat"
315;"Hellmich, HL";2008,00;"Chelation of neurotoxic zinc levels does not improve neurobehavioral outcome after traumatic brain injury.";8;"Rat"
316;"Henderson, Z";2010,00;"Co-localization of PRiMA with acetylcholinesterase in cholinergic neurons of rat brain: an immunocytochemical study.";21;"Rat"
317;"Heppelmann, B";1994,00;"Combination of alkaline phosphatase in situ hybridization with immunohistochemistry: colocalization of calretinin-mRNA with calbindin and tyrosine hydroxylase immunoreactivity in rat substantia nigra neurons.";21;"Rat"
318;"Herculano-Houzel, S";2005,00;"Isotropic fractionator: a simple, rapid method for the quantification of total cell and neuron numbers in the brain.";7;"Rat"
319;"Hermann, A";2009,00;"Rostro-caudal gradual loss of cellular diversity within the periventricular regions of the ventricular system";118;"Mouse"
320;"Hermann, A";2006,00;"Multipotent neural stem cells from the adult tegmentum with dopaminergic potential develop essential properties of functional neurons.";118;"Mouse"
321;"Heuer, H";1998,00;"Region-specific expression of thyrotrophin-releasing hormone-degrading ectoenzyme in the rat central nervous system and pituitary gland.";2;"Rat"
322;"Hieber, V";1991,00;"Differential distribution of (Na, K)-ATPase alpha isoforms in the central nervous system.";62;"Rat"
323;"Hill, JM";1984,00;"The regional distribution and cellular localization of iron in the rat brain.";11;"Rat"
324;"Hioki, H";2010,00;"Vesicular glutamate transporter 3-expressing nonserotonergic projection neurons constitute a subregion in the rat midbrain raphe nuclei.";12;"Rat"
325;"Hirata, H";2016,00;"Caspr3-Deficient Mice Exhibit Low Motor Learning during the Early Phase of the Accelerated Rotarod Task.";13;"Mouse"
326;"Hitzemann, R";2003,00;"Dopamine D2 receptor binding, Drd2 expression and the number of dopamine neurons in the BXD recombinant inbred series: genetic relationships to alcohol and other drug associated phenotypes.";9;"Mouse"
327;"Hobson, BA";2018,00;"A magnetic resonance imaging study of early brain injury in a rat model of acute DFP intoxication.";66;"Rat"
328;"Hofele, K";2001,00;"Evidence for a dissociation between MPTP toxicity and tyrosinase activity based on congenic mouse strain susceptibility.";18;"Mouse"
329;"Hofling, C";2014,00;"Mouse strain and brain region-specific expression of the glutaminyl cyclases QC and isoQC.";76;"Mouse"
330;"Holmberg, M";1999,00;"Adrenergic alpha2C-receptors reside in rat striatal GABAergic projection neurons: comparison of radioligand binding and immunohistochemistry.";11;"Rat"
331;"Hommyo, R";2018,00;"Expression of CRYM in different rat organs during development and its decreased expression in degenerating pyramidal tracts in amyotrophic lateral sclerosis.";119;"Rat"
332;"Hoover, BR";2004,00;"Molecular, chemical, and anatomical characterization of globus pallidus dopamine D2 receptor mRNA-containing neurons.";5;"Rat"
333;"Hopkins, KJ";1998,00;"Characterization of N-methyl-d-aspartate receptors in the hyperammonemic sparse fur mouse.";21;"Mouse"
334;"Horinouchi, K";2005,00;"Distribution of L1cam mRNA in the adult mouse brain: In situ hybridization and Northern blot analyses.";12;"Mouse"
335;"Horio, Y";1996,00;"Differential distribution of classical inwardly rectifying potassium channel mRNAs in the brain: comparison of IRK2 with IRK1 and IRK3.";120;"Mouse"
336;"Horne, EA";2013,00;"Downregulation of cannabinoid receptor 1 from neuropeptide Y interneurons in the basal ganglia of patients with Huntington's disease and mouse models.";2;"Mouse"
337;"Hsu, SY";2011,00;"Pnn and SR family proteins are differentially expressed in mouse central nervous system.";121;"Mouse"
338;"Hu, HJ";2004,00;"Differential expression of AMPA receptor subunits in substance P receptor-containing neurons of the caudate-putamen of rats.";122;"Rat"
339;"Huang, YX";2011,00;"CSC counteracts l-DOPA-induced overactivity of the corticostriatal synaptic ultrastructure and function in 6-OHDA-lesioned rats.";21;"Rat"
340;"Hunot, S";1996,00;"Nitric oxide synthase and neuronal vulnerability in Parkinson's disease.";11;"Human"
341;"Hunt, SP";1984,00;"Radioimmunocytochemistry with [3H]biotin.";21;"Rat"
342;"Hurtado-Alvarado, G";2017,00;"Chronic sleep restriction disrupts interendothelial junctions in the hippocampus and increases blood-brain barrier permeability.";123;"Rat"
343;"Hyman, C";1994,00;"Overlapping and distinct actions of the neurotrophins BDNF, NT-3, and NT-4/5 on cultured dopaminergic and GABAergic neurons of the ventral mesencephalon.";7;"Mouse"
344;"Ichinohe, N";2000,00;"Morphological study of the tegmental pedunculopontine nucleus, substantia nigra and subthalamic nucleus, and their interconnections in rat organotypic culture.";117;"Rat"
345;"Ichitani, Y";1994,00;"Biochemical and immunocytochemical changes induced by intrastriatal 6-hydroxydopamine injection in the rat nigrostriatal dopamine neuron system: evidence for cell death in the substantia nigra.";18;"Rat"
346;"Ichitani, Y";1991,00;"Degeneration of the nigral dopamine neurons after 6-hydroxydopamine injection into the rat striatum.";21;"Rat"
347;"Iima, M";2014,00;"Characterization of glioma microcirculation and tissue features using intravoxel incoherent motion magnetic resonance imaging in a rat brain model.";124;"Rat"
348;"Iino, S";1999,00;"Immunohistochemical localization of a novel acidic calmodulin-binding protein, NAP-22, in the rat brain.";11;"Rat"
349;"Imai, H";1986,00;"The morphology and divergent axonal organization of midbrain raphe projection neurons in the rat.";125;"Rat"
350;"Inagaki, S";1985,00;"Distribution of enkephalin-immunoreactive neurons in the forebrain and upper brainstem of the squirrel monkey.";21;"Monkey"
351;"Inagami, T";1980,00;"Immunohistochemical localization of renin in mouse brain.";8;"Mouse"
352;"Ince, E";1997,00;"Differential expression of D1 and D2 dopamine and m4 muscarinic acetylcholine receptor proteins in identified striatonigral neurons.";5;"Rat"
353;"Ingham, CA";1993,00;"Morphological changes in the rat neostriatum after unilateral 6-hydroxydopamine injections into the nigrostriatal pathway.";25;"Rat"
354;"Inglis, WL";1996,00;"Colocalization of ionotropic glutamate receptor subunits with NADPH-diaphorase-containing neurons in the rat mesopontine tegmentum.";12;"Rat"
355;"Ip, CW";2015,00;"Lymphocytes reduce nigrostriatal deficits in the 6-hydroxydopamine mouse model of Parkinson's disease.";56;"Mouse"
356;"Irie, Y";2011,00;"Methamphetamine induces endoplasmic reticulum stress related gene CHOP/Gadd153/ddit3 in dopaminergic cells.";108;"Mouse"
357;"Isacson, O";1987,00;"Neural grafting in a rat model of Huntington's disease: striosomal-like organization of striatal grafts as revealed by acetylcholinesterase histochemistry, immunocytochemistry and receptor autoradiography.";11;"Rat"
358;"Ishida, Y";2001,00;"Immunohistochemical characterisation of Fos-positive cells in brainstem monoaminergic nuclei following intracranial self-stimulation of the medial forebrain bundle in the rat.";2;"Rat"
359;"Iwase, K";1998,00;"Precise distribution of neuronal nitric oxide synthase mRNA in the rat brain revealed by non-radioisotopic in situ hybridization.";21;"Rat"
360;"Jaber, M";1995,00;"Acute and chronic amphetamine treatments differently regulate neuropeptide messenger RNA levels and Fos immunoreactivity in rat striatal neurons.";11;"Rat"
361;"Jackson, EA";1989,00;"Behavioural and morphological changes following treatment with GM-1 ganglioside of rats with an electrolytic lesion of the substantia nigra.";59;"Rat"
362;"Jacobowitz, DM";1991,00;"Immunocytochemical localization of calretinin in the forebrain of the rat.";12;"Rat"
363;"Jacobsson, G";1994,00;"Hexokinase I messenger RNA in the rat central nervous system.";106;"Rat"
364;"Jaeger, C";1989,00;"Organotypic slice cultures of dopaminergic neurons of substantia nigra.";30;"Rat"
365;"Jakowec, MW";2001,00;"Postnatal expression of alpha-synuclein protein in the rodent substantia nigra and striatum.";91;"Rat"
366;"Jan, C";2007,00;"Localization of D1a dopamine receptors on cell bodies and axonal endings in the substantia nigra pars reticulata of the rat.";56;"Rat"
367;"Janowski, M";2008,00;"Structural and functional characteristic of a model for deep-seated lacunar infarct in rats.";72;"Rat"
368;"Janson, AM";1993,00;"Chronic nicotine treatment counteracts nigral cell loss induced by a partial mesodiencephalic hemitransection: an analysis of the total number and mean volume of neurons and glia in substantia nigra of the male rat.";11;"Rat"
369;"Jeong, HK";2010,00;"Inflammatory responses are not sufficient to cause delayed neuronal death in ATP-induced acute brain injury.";13;"Rat"
370;"Jerzemowska, G";2012,00;"Locomotor response to novelty correlates with the number of midbrain tyrosine hydroxylase positive cells in rats.";30;"Rat"
371;"Ji, S";2015,00;"[Association of irradiation-induced hippocampal neurogenesis impairment with histone H3 acetylation]. [Chinese]";;
372;"Jiang, H";2007,00;"Peripheral iron dextran induced degeneration of dopaminergic neurons in rat substantia nigra.";86;"Rat"
373;"Jiang, H";2006,00;"Neuroprotective effects of iron chelator Desferal on dopaminergic neurons in the substantia nigra of rats with iron-overload.";86;"Rat"
374;"Jiang, HQ";2003,00;"[Increased DMT1 expression and iron content in MPTP-treated C57BL/6 mice]. [Chinese]";;"Mouse"
375;"Jin, H";2013,00;"DARPP-32 to quantify intracerebral hemorrhage-induced neuronal death in basal ganglia.";126;"Rat"
376;"Jinnah, HA";1994,00;"Dopamine deficiency in a genetic mouse model of Lesch-Nyhan disease.";7;"Mouse"
377;"Jito, J";2009,00;"[The measurement of fractional anisotropy values at the corpus callosum in an irradiated-rat model by 7T-MRI: comparison with quantitative histological evaluation]. [Japanese]";;
378;"Joghataie, M";2004,00;"Protective effect of caffeine against neurodegeneration in a model of Parkinson's disease in rat: behavioral and histochemical evidence.";127;"Rat"
379;"Jokinen, V";2018,00;"Differential Spinal and Supraspinal Activation of Glia in a Rat Model of Morphine Tolerance.";11;"Rat"
380;"Jones, BE";1989,00;"Afferents to the basal forebrain cholinergic cell area from pontomesencephalic--catecholamine, serotonin, and acetylcholine--neurons.";11;"Rat"
381;"Joyce, JN";1999,00;"D3 receptors and the actions of neuroleptics in the ventral striatopallidal system of schizophrenics. [Review] [61 refs]";128;
382;"Juanes, JA";1994,00;"Topographic distribution and quantitative analysis of retrograde-labelled cells in the substantia nigra following administration of fluoro gold in the caudate putamen nucleus.";74;"Rat"
383;"Kaiser, A";2001,00;"Auditory and vestibular defects in the circling (ci2) rat mutant.";2;"Rat"
384;"Kajiwara, K";1997,00;"Immune responses to adenoviral vectors during gene transfer in the brain.";81;"Mouse"
385;"Kalen, P";1988,00;"Projections from the ventral tegmental area and mesencephalic raphe to the dorsal raphe nucleus in the rat. Evidence for a minor dopaminergic component.";25;"Rat"
386;"Kalivas, PW";1993,00;"GABA and enkephalin projection from the nucleus accumbens and ventral pallidum to the ventral tegmental area.";11;"Rat"
387;"Kambouris, M";1993,00;"Cellular distribution of the RNA transcripts of a newly discovered gene in the brain of normal, weaver, Purkinje cell degeneration and reeler mutant mice as evidenced by in situ hybridization histochemistry.";21;"Mouse"
388;"Kanthasamy, AG";1994,00;"Dopaminergic neurotoxicity of cyanide: neurochemical, histological, and behavioral characterization.";129;"Mouse"
389;"Karasawa, N";2007,00;"Tyrosine hydroxylase (TH)- and aromatic-L-amino acid decarboxylase (AADC)-immunoreactive neurons of the common marmoset (Callithrix jacchus) brain: an immunohistochemical analysis.";130;"Monkey"
390;"Karasawa, N";1997,00;"Immunocytochemical study of catecholaminergic neurons in the senescence-accelerated mouse (SAM-P8) brain.";56;"Mouse"
391;"Karmy, G";1991,00;"Cytochrome oxidase immunohistochemistry in rat brain and dorsal root ganglia: visualization of enzyme in neuronal perikarya and in parvalbumin-positive neurons.";11;"Rat"
392;"Kasarskis, EJ";1981,00;"Abnormal maturation of cerebral cortex and behavioral deficit in adult rats after neonatal administration of antibodies to ganglioside.";21;"Rat"
393;"Katsuki, H";1999,00;"[Factors regulating survival and death of midbrain dopamine neurons]. [Japanese]";;
394;"Kawamoto, Y";2000,00;"Immunohistochemical localization of glial cell line-derived neurotrophic factor in the human central nervous system.";11;"Human"
395;"Kazi, JA";2007,00;"Effect of gabapentin on c-Fos expression in the CNS after paw surgery in rats.";79;"Rat"
396;"Kearns, CM";1995,00;"GDNF protects nigral dopamine neurons against 6-hydroxydopamine in vivo.";21;"Rat"
397;"Kha, HT";2001,00;"Projections from the substantia nigra pars reticulata to the motor thalamus of the rat: single axon reconstructions and immunohistochemical study.";12;"Rat"
398;"Khan, AJ";2011,00;"Riluzole enhances ionizing radiation-induced cytotoxicity in human melanoma cells that ectopically express metabotropic glutamate receptor 1 in vitro and in vivo.";131;"Mouse"
399;"Khan, MM";2015,00;"Absence of glia maturation factor protects dopaminergic neurons and improves motor behavior in mouse model of parkinsonism.";47;"Mouse"
400;"Khan, ZU";1998,00;"Differential regional and cellular distribution of dopamine D2-like receptors: an immunocytochemical study of subtype-specific antibodies in rat and human brain.";12;"Rat"
401;"Khudoerkov, RM";2014,00;"Quantitative morphochemical characterization of the neurons in substantia nigra of rat brain and its volume reconstruction.";17;"Rat"
402;"Kim, MO";1997,00;"Prolonged ethanol intake increases D2 dopamine receptor expression in the rat brain.";132;"Rat"
403;"Kinugawa, K";2013,00;"MFGE8 does not orchestrate clearance of apoptotic neurons in a mouse model of Parkinson's disease.";68;"Mouse"
404;"Kirchgessner, AL";1988,00;"Costorage of serotonin binding protein with serotonin in the rat CNS.";7;"Rat"
405;"Kita, H";2001,00;"Number, origins, and chemical types of rat pallidostriatal projection neurons.";12;"Rat"
406;"Kita, T";2016,00;"Intralaminar and tectal projections to the subthalamus in the rat.";2;"Rat"
407;"Kitahama, K";1990,00;"Aromatic L-amino acid decarboxylase-immunohistochemistry in the cat lower brainstem and midbrain.";12;"Cat"
408;"Kitao, Y";2015,00;"Transgenic supplementation of SIRT1 fails to alleviate acute loss of nigrostriatal dopamine neurons and gliosis in a mouse model of MPTP-induced parkinsonism.";133;"Mouse"
409;"Kiyama, H";1991,00;"Co-expression of cholecystokinin mRNA and tyrosine hydroxylase mRNA in populations of rat substantia nigra cells; a study using a combined radioactive and non-radioactive in situ hybridization procedure.";21;"Rat"
410;"Klawitter, V";2007,00;"Plasticity of basal ganglia neurocircuitries following perinatal asphyxia: effect of nicotinamide.";25;"Rat"
411;"Klawitter, V";2005,00;"Effects of perinatal asphyxia on cell survival, neuronal phenotype and neurite growth evaluated with organotypic triple cultures.";134;"Rat"
412;"Kline, A";2004,00;"Bromocriptine reduces lipid peroxidation and enhances spatial learning and hippocampal neuron survival in a rodent model of focal brain trauma.";135;"Rat"
413;"Knaus, HG";1996,00;"Distribution of high-conductance Ca(2+)-activated K+ channels in rat brain: targeting to axons and nerve terminals.";7;"Rat"
414;"Knyihar-Csillik, E";2006,00;"Effect of 6-hydroxydopamine treatment on kynurenine aminotransferase-I (KAT-I) immunoreactivity of neurons and glial cells in the rat substantia nigra.";63;"Rat"
415;"Kobayashi, S";1998,00;"Dopamine D1 and D2 receptor-mediated acute and long-lasting behavioral effects of glial cell line-derived neurotrophic factor administered into the striatum.";18;"Rat"
416;"Kohler, C";1988,00;"Localization of quinolinic acid metabolizing enzymes in the rat brain. Immunohistochemical studies using antibodies to 3-hydroxyanthranilic acid oxygenase and quinolinic acid phosphoribosyltransferase.";11;"Rat"
417;"Kohutnicka, M";1998,00;"Microglial and astrocytic involvement in a murine model of Parkinson's disease induced by 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP).";136;"Mouse"
418;"Koike, M";2013,00;"Differences in expression patterns of cathepsin C/dipeptidyl peptidase I in normal, pathological and aged mouse central nervous system.";2;"Mouse"
419;"Kondo, Y";2007,00;"Osteopetrotic (op/op) mice have reduced microglia, no Abeta deposition, and no changes in dopaminergic neurons.";4;"Mouse"
420;"Kondoh, K";1993,00;"Distribution of prosaposin-like immunoreactivity in rat brain.";12;"Rat"
421;"Kondziolka, D";1996,00;"Radiosurgery and fractionated radiation therapy: comparison of different techniques in an in vivo rat glioma model.";137;"Rat"
422;"Koprich, JB";2010,00;"Expression of human A53T alpha-synuclein in the rat substantia nigra using a novel AAV1/2 vector produces a rapidly evolving pathology with protein aggregation, dystrophic neurite architecture and nigrostriatal degeneration with potential to model the pat";138;"Rat"
423;"Korkmaz, O";2012,00;"Vasoactive intestinal peptide enhances striatal plasticity and prevents dopaminergic cell loss in Parkinsonian rats.";79;"Rat"
424;"Korkmaz, O";2010,00;"Vasoactive intestinal peptide (VIP) treatment of Parkinsonian rats increases thalamic gamma-aminobutyric acid (GABA) levels and alters the release of nerve growth factor (NGF) by mast cells.";79;"Rat"
425;"Korosi, A";2006,00;"Distribution and expression of CRF receptor 1 and 2 mRNAs in the CRF over-expressing mouse brain.";21;"Mouse"
426;"Koshimizu, Y";2013,00;"Quantitative analysis of axon bouton distribution of subthalamic nucleus neurons in the rat by single neuron visualization with a viral vector.";12;"Rat"
427;"Krashia, P";2017,00;"On the properties of identified dopaminergic neurons in the mouse substantia nigra and ventral tegmental area.";2;"Mouse"
428;"Kritzer, M F";1997,00;"Selective colocalization of immunoreactivity for intracellular gonadal hormone receptors and tyrosine hydroxylase in the ventral tegmental area, substantia nigra, and retrorubral fields in the rat.";12;"Rat"
429;"Kruger, L";1988,00;"Calcitonin gene-related peptide (CGRP) in the rat central nervous system: patterns of immunoreactivity and receptor binding sites.";21;"Rat"
430;"Kubo, K";2011,00;"Possible role of propofol's cyclooxygenase-inhibiting property in alleviating dopaminergic neuronal loss in the substantia nigra in an MPTP-induced murine model of Parkinson's disease.";21;"Mouse"
431;"Kuo, YM";2005,00;"Deficiency of pantothenate kinase 2 (Pank2) in mice leads to retinal degeneration and azoospermia.";139;"Mouse"
432;"Kupsch, A";2001,00;"Monoamine oxidase-inhibition and MPTP-induced neurotoxicity in the non-human primate: comparison of rasagiline (TVP 1012) with selegiline.";56;"Monkey"
433;"Kupsch, A";1992,00;"Do NMDA receptor antagonists protect against MPTP-toxicity? Biochemical and immunocytochemical analyses in black mice.";21;"Mouse"
434;"Kuramoto, E";2011,00;"Complementary distribution of glutamatergic cerebellar and GABAergic basal ganglia afferents to the rat motor thalamic nuclei.";2;"Rat"
435;"Kurita, H";2001,00;"Radiation-induced apoptosis of oligodendrocytes in the adult rat brain.";40;"Rat"
436;"Kusnoor, S";2012,00;"The effects of nigrostriatal dopamine depletion on the thalamic parafascicular nucleus.";21;"Rat"
437;"Kwakye, G";2011,00;"Novel high-throughput assay to assess cellular manganese levels in a striatal cell line model of Huntington's disease confirms a deficit in manganese accumulation.";66;
438;"Labiner, DM";1993,00;"Induction of c-fos mRNA by kindled seizures: complex relationship with neuronal burst firing.";7;"Rat"
439;"Lagrue, E";2007,00;"Lamotrigine is neuroprotective in the energy deficiency model of MPTP intoxicated mice.";99;"Mouse"
440;"Lamprecht, F";1975,00;"Central adrenergic neurons in DOCA-salt hypertension.";26;"Rat"
441;"Lanca, AJ";2000,00;"The pedunculopontine tegmental nucleus and the role of cholinergic neurons in nicotine self-administration in the rat: a correlative neuroanatomical and behavioral study.";11;"Rat"
442;"Larsen, PJ";1993,00;"Regional distribution of putative NPY Y1 receptors and neurons expressing Y1 mRNA in forebrain areas of the rat central nervous system.";2;"Rat"
443;"Lauder, JM";1975,00;"Ontogeny of monoamine neurons in the locus coeruleus, raphe nuclei and substantia nigra of the rat. II. Synaptogenesis.";12;"Rat"
444;"Lawhorn, C";2013,00;"Acute binge pattern cocaine administration induces region-specific effects in D1-r- and D2-r-expressing cells in eGFP transgenic mice.";11;"Mouse"
445;"Lawson, LJ";1990,00;"Heterogeneity in the distribution and morphology of microglia in the normal adult mouse brain.";11;"Mouse"
446;"Le Moine, C";1991,00;"Phenotypical characterization of the rat striatal neurons expressing the D1 dopamine receptor gene.";6;"Rat"
447;"Lee, JH";1993,00;"The distribution of brain-stem and spinal cord nuclei associated with different frequencies of electroacupuncture analgesia.";140;"Rat"
448;"Lee, M";2000,00;"Immunohistochemical localization of phospholipase D1 in rat central nervous system.";21;"Rat"
449;"Leino, S";2018,00;"Attenuated dopaminergic neurodegeneration and motor dysfunction in hemiparkinsonian mice lacking the alpha5 nicotinic acetylcholine receptor subunit.";59;"Mouse"
450;"Lentz, SI";1996,00;"Tetrahydrobiopterin biosynthesis in the rat brain: heterogeneity of GTP cyclohydrolase I mRNA expression in monoamine-containing neurons.[Erratum appears in Neurochem Int 1996 Oct;29(4):I-II]";86;"Rat"
451;"Lessenich, A";2001,00;"A novel black-hooded mutant rat (ci3) with spontaneous circling behavior but normal auditory and vestibular functions.";11;"Rat"
452;"Levine, N";2013,00;"Advances in thin tissue Golgi-Cox impregnation: fast, reliable methods for multi-assay analyses in rodent and non-human primate brain.";109;
453;"Levinson, AJ";1998,00;"Haloperidol induces persistent down-regulation of tyrosine hydroxylase immunoreactivity in substantia nigra but not ventral tegmental area in the rat.";11;"Rat"
454;"Li, H";2017,00;"Repeated manganese administration produced abnormal expression of circadian clock genes in the hypothalamus and liver of rats.";66;"Rat"
455;"Li, J";2014,00;"[Effect of electroacupuncture intervention on levels of SOD, GSH, GSH-Px, MDA, and apoptosis of dopaminergic neurons in substantia Nigra in rats with Parkinson's disease]. [Chinese]";;
456;"Li, J";2013,00;"Reversal of dopamine neurons and locomotor ability degeneration in aged rats with smilagenin.";11;"Rat"
457;"Li, J";1997,00;"Connexin32 in oligodendrocytes and association with myelinated fibers in mouse and rat brain.";12;"Rodent"
458;"Li, T";2014,00;"Effects of Nano-MnO2 on dopaminergic neurons and the spatial learning capability of rats.";141;"Rat"
459;"Li, WW";2008,00;"[Protective effects of Cistanche total glycosides on dopaminergic neuron in substantia nigra of model mice of Parkinson's disease]. [Chinese]";;
460;"Li, X";2018,00;"Generation of a whole-brain atlas for the cholinergic system and mesoscopic projectome analysis of basal forebrain cholinergic neurons.";6;"Mouse"
461;"Li, X";2003,00;"Experimental study on the protective effect of puerarin to Parkinson disease.";;"Rat"
462;"Li, XZ";2013,00;"Therapeutic effects of valproate combined with lithium carbonate on MPTP-induced parkinsonism in mice: possible mediation through enhanced autophagy.";61;"Mouse"
463;"Li, YQ";1993,00;"The sites of origin of dopaminergic afferent fibers to the lateral habenular nucleus in the rat.";12;"Rat"
464;"Liebetrau, M";1999,00;"Increased intracellular calpain detection in experimental focal cerebral ischemia.";142;"Rat"
465;"Limoges, J";2001,00;"The efficacy of potent anti-retroviral drug combinations tested in a murine model of HIV-1 encephalitis.";143;"Mouse"
466;"Lin, SH";1998,00;"Metabolic mapping of the brain in pregnant, parturient and lactating rats using fos immunohistochemistry.";21;"Rat"
467;"Lindefors, N";1989,00;"Region specific regulation of glutamic acid decarboxylase mRNA expression by dopamine neurons in rat brain.";25;"Rat"
468;"Lippmann, M";2005,00;"Effects of subchronic exposures to concentrated ambient particles in mice. IX. Integral assessment and human health implications of subchronic exposures of mice to CAPs.";144;"Mouse"
469;"Lisardo Sanchez, M";2014,00;"Distribution of CGRP in the minipig brainstem.";10;"Minipig"
470;"Liu, HM";2010,00;"Influence of aging on the calbindin-D-28k immunoreactive positive dopaminergic neurons in the substantia nigra pars compacta of rats.";8;"Rat"
471;"Liu, JJ";2005,00;"Chronic nicotine exposure during adolescence differentially influences calcium-binding proteins in rat anterior cingulate cortex.";2;"Rat"
472;"Liu, K";2013,00;"Therapeutic effects of rapamycin on MPTP-induced Parkinsonism in mice.";47;"Mouse"
473;"Liu, X";2006,00;"Manganese-induced neurotoxicity: the role of astroglial-derived nitric oxide in striatal interneuron degeneration.";145;"Mouse"
474;"Liu, Y";2017,00;"Peripheral immune tolerance alleviates the intracranial lipopolysaccharide injection-induced neuroinflammation and protects the dopaminergic neurons from neuroinflammation-related neurotoxicity.";4;"Rat"
475;"Liu, Y";2012,00;"alpha7 nicotinic acetylcholine receptor-mediated neuroprotection against dopaminergic neuron loss in an MPTP mouse model via inhibition of astrocyte activation.";4;"Mouse"
476;"Liu, YT";2013,00;"Distribution of transglutaminase 6 in the central nervous system of adult mice.";146;"Mouse"
477;"Lo, PS";2005,00;"Immunohistochemical localization of toluene-induced c-Fos protein expression in the rat brain.";186;"Rat"
478;"Lolova, IS";1995,00;"Age-related changes in basic fibroblast growth factor-immunoreactive cells of rat substantia nigra.";20;"Rat"
479;"Loopuijt, LD";1985,00;"Organization of the striatum: collateralization of its efferent axons.";21;"Rat"
480;"Loos, M";2003,00;"Tumor necrosis factor-alpha expression in areas of remote degeneration following middle cerebral artery occlusion of the rat.";11;"Rat"
481;"Lorenc-Koci, E";2011,00;"Different effects of intranigral and intrastriatal administration of the proteasome inhibitor lactacystin on typical neurochemical and histological markers of Parkinson's disease in rats.";86;"Rat"
482;"Lorenc-Koci, E";2000,00;"Effect of acute and chronic administration of 1,2,3,4-tetrahydroisoquinoline on muscle tone, metabolism of dopamine in the striatum and tyrosine hydroxylase immunocytochemistry in the substantia nigra, in rats.";11;"Rat"
483;"Loscher, W";2006,00;"Distribution of GABAergic neurons in the striatum of amygdala-kindled rats: an immunohistochemical and in situ hybridization study.";21;"Rat"
484;"Lu, EJ";1977,00;"The developing caudate nucleus in the euthyroid and hypothyroid rat.";12;"Rat"
485;"Lu, XY";1999,00;"Regional distribution and cellular localization of gamma-aminobutyric acid subtype 1 receptor mRNA in the rat brain.";12;"Rat"
486;"Lujan, R";2003,00;"Immunohistochemical localization of the voltage-gated potassium channel subunit Kv1.4 in the central nervous system of the adult rat.";14;"Rat"
487;"Luque, JM";1996,00;"Distribution and sites of synthesis of NTT4, an orphan member of the Na+/Cl(-)-dependent neurotransmitter transporter family, in the rat CNS.";2;"Rat"
488;"Luquin, E";2018,00;"Stereological Estimates of Glutamatergic, GABAergic, and Cholinergic Neurons in the Pedunculopontine and Laterodorsal Tegmental Nuclei in the Rat.";100;"Rat"
489;"Luziga, C";2007,00;"Expression mapping of cytotoxic T-lymphocyte antigen-2alpha gene transcripts in mouse brain.";121;"Mouse"
490;"Ma, Y";2009,00;"[The neuroprotective effects of lesion and high frequency stimulation of the subthalamic nucleus on the substantia nigra neurons]. [Chinese]";;
491;"Ma, Y";2003,00;"Neuronal distribution of EHSH1/intersectin: molecular linker between clathrin-mediated endocytosis and signaling pathways.";26;"Rat"
492;"Ma, YY";2007,00;"[Sexual dimorphisms of dopaminergic neurons in rat substantia nigra]. [Chinese]";;
493;"Ma, Z";2012,00;"Nifedipine prevents iron accumulation and reverses iron-overload-induced dopamine neuron degeneration in the substantia nigra of rats.";80;"Rat"
494;"Machado-Salas, J";2012,00;"Ontogeny of Lafora bodies and neurocytoskeleton changes in Laforin-deficient mice.";18;"Mouse"
495;"Mackey, S";2013,00;"Direct intranigral administration of an ubiquitin proteasome system inhibitor in rat: behavior, positron emission tomography, immunohistochemistry.";18;"Rat"
496;"Mailleux, P";1992,00;"Distribution of neuronal cannabinoid receptor in the adult rat brain: a comparative receptor binding radioautography and in situ hybridization histochemistry.";11;"Rat"
497;"Mailleux, P";1992,00;"Comparison of neuronal inositol 1,4,5-trisphosphate 3-kinase and receptor mRNA distributions in the adult rat brain using in situ hybridization histochemistry.";11;"Rat"
498;"Majak, K";2003,00;"Activation of the amygdalo-entorhinal pathway in fear-conditioning in rat.";2;"Rat"
499;"Mansour, A";1994,00;"Mu, delta, and kappa opioid receptor mRNA expression in the rat CNS: an in situ hybridization study.";12;"Rat"
