"ID";"Quantitation_ID";"Calculation_performed"
977;1107;"Unit conversion"
978;1102;"SEM to SD conversion"
979;1102;"Unit conversion"
980;1114;"SEM to SD conversion"
981;1110;"SEM to SD conversion"
982;1109;"SEM to SD conversion"
983;1112;"SEM to SD conversion"
984;1111;"SEM to SD conversion"
985;1115;"SEM to SD conversion"
986;1116;"SEM to SD conversion"
987;1113;"SEM to SD conversion"
988;1047;"SEM to SD conversion"
989;1048;"SEM to SD conversion"
990;1117;"SEM to SD conversion"
991;1117;"Unit conversion"
992;1119;"SEM to SD conversion"
993;1119;"Unit conversion"
994;1118;"SEM to SD conversion"
995;1118;"Unit conversion"
996;1120;"SEM to SD conversion"
997;1120;"Unit conversion"
998;1125;"SEM to SD conversion"
999;1125;"Unit conversion"
1000;1126;"SEM to SD conversion"
1001;1126;"Unit conversion"
1002;1121;"SEM to SD conversion"
1003;1121;"Unit conversion"
1004;1122;"SEM to SD conversion"
1005;1122;"Unit conversion"
1006;1127;"SEM to SD conversion"
1007;1127;"Unit conversion"
1008;1128;"SEM to SD conversion"
1009;1128;"Unit conversion"
1010;1123;"SEM to SD conversion"
1011;1123;"Unit conversion"
1012;1124;"SEM to SD conversion"
1013;1124;"Unit conversion"
1014;1135;"Unit conversion"
1015;1136;"Unit conversion"
1016;1129;"Unit conversion"
1017;1130;"Unit conversion"
1018;1134;"Unit conversion"
1019;1133;"Unit conversion"
1020;1131;"Unit conversion"
1021;1132;"Unit conversion"
1022;1137;"Unit conversion"
1023;1144;"Unit conversion"
1024;1145;"Unit conversion"
1025;1139;"Unit conversion"
1026;1138;"Unit conversion"
1027;1142;"Unit conversion"
1028;1143;"Unit conversion"
1029;1140;"Unit conversion"
1030;1141;"Unit conversion"
1031;1146;"Unit conversion"
